Sobre,De,a,distancia,Latitud,Longitud,Tiempo,M por minuto,Hora
Av.Kabah,Arco norte,Av. Tules,750,21.19445602148485,-86.87216857,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194432393772964,-86.8721545,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194410432428143,-86.87214142,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194390019928253,-86.87212926,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194371047039514,-86.87211795,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194353412231973,-86.87210745,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194337021136164,-86.87209769,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194321786038124,-86.87208861,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19430763,-86.87208017,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194294463473774,-86.87207233,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194282229795736,-86.87206505,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194270858909587,-86.87205827,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194260289966103,-86.87205198,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194250466407507,-86.87204612,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19424133566481,-86.87204068,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19423284887651,-86.87203563,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194224960627103,-86.87203093,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19421762870406,-86.87202656,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19421081387193,-86.8720225,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19420447966238,-86.87201873,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19419859217904,-86.87201522,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19419311991611,-86.87201196,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194188033589782,-86.87200893,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19418331,-86.87200612,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19417891179233,-86.8720035,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194174827507574,-86.87200107,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19417103127092,-86.8719988,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.1941675,-86.8719967,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194164223115173,-86.87199475,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194161174763476,-86.87199293,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194158341399707,-86.87199124,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19408029353256,-86.87194815,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19405979458331,-86.87193765,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193999471977328,-86.87190371,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193961197939068,-86.87188117,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19392414,-86.87185934,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193888253952522,-86.8718382,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19385350818762,-86.87181773,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193819864695094,-86.87179791,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19378728850653,-86.87177872,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193755745762846,-86.87176014,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193725203679104,-86.87174215,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193695630510433,-86.87172473,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193666995519035,-86.87170786,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193639268942235,-86.87169152,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193612421961546,-86.87167571,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193586426672724,-86.8716604,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193561256056746,-86.87164557,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193536883951747,-86.87163121,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193513285025816,-86.87161731,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19349043475067,-86.87160385,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193468309376165,-86.87159081,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193446885905594,-86.87157819,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193426142071804,-86.87156597,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193406056314043,-86.87155414,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19338660775555,-86.87154269,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19336777618186,-86.87153159,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19334954201978,-86.87152085,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193331886317072,-86.87151045,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193314790722724,-86.87150038,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193298237467893,-86.87149063,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193282209347437,-86.87148119,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19326668970203,-86.87147204,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19325166240084,-86.87146319,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19323711182477,-86.87145462,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19322302285023,-86.87144632,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193209380833398,-86.87143828,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193196171595016,-86.8714305,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19318338140565,-86.87142297,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193170996971418,-86.87141567,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193159005420167,-86.87140861,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193147394288108,-86.87140177,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19313615150684,-86.87139515,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193125265390837,-86.87138873,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193114724625264,-86.87138252,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193104518254252,-86.87137651,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193094635669485,-86.87137069,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193085066599195,-86.87136505,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193075801097464,-86.87135959,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193066829533908,-86.87135431,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19305814258365,-86.87134919,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19304973121763,-86.87134424,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19304158669324,-86.87133944,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19303370054521,-86.87133479,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.193026064576824,-86.87133029,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19301867,-86.87132594,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19301151168404,-86.87132172,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19300457963364,-86.87131764,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19299786749515,-86.87131368,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192991368292105,-86.87130986,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192985075269355,-86.87130615,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192978981886046,-86.87130256,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192973081808834,-86.87129908,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192967368905283,-86.87129572,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19296183723751,-86.87129246,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192956481056008,-86.8712893,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19295129479366,-86.87128625,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192946273059956,-86.87128329,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192941410635406,-86.87128043,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192936702466096,-86.87127765,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192932143658442,-86.87127497,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192927729474103,-86.87127237,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19292345532506,-86.87126985,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192919316768844,-86.87126741,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192915309503913,-86.87126505,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192911429365193,-86.87126276,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19290767231974,-86.87126055,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192904034462554,-86.87125841,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19290051201251,-86.87125633,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192897101308443,-86.87125432,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19289379880533,-86.87125238,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19289060107061,-86.8712505,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192887504780614,-86.87124867,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19288450671712,-86.87124691,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.1928816,-86.8712452,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192878792903976,-86.87124354,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19287607121549,-86.87124194,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19287343586967,-86.87124038,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19287088412739,-86.87123888,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192868413336416,-86.87123742,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192866020928655,-86.87123602,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19286370441748,-86.87123465,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192861461395154,-86.87123333,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192859289530322,-86.87123205,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19285718656559,-86.87123081,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19285515031517,-86.87122961,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19285317866263,-86.87122845,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192851269558666,-86.87122733,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19284942101899,-86.87122624,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192847631122266,-86.87122518,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19284589800811,-86.87122416,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192844219875152,-86.87122317,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192842594979176,-86.87122222,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192841021631292,-86.87122129,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192839498196197,-86.87122039,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192838023090456,-86.87121952,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19283659478087,-86.87121868,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19283521178289,-86.87121787,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192833872659044,-86.87121708,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192832576017476,-86.87121631,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192831320510482,-86.87121557,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192753028133296,-86.87117059,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192716337067672,-86.87115002,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192682657522347,-86.87113114,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192651742318493,-86.87111381,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192623364565165,-86.87109791,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192597315994124,-86.8710833,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192573405431318,-86.8710699,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19255145739383,-86.8710576,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192531310801986,-86.8710463,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192512817797173,-86.87103594,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192495842656676,-86.87102642,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192480260797605,-86.87101769,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192465957862545,-86.87100967,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192452828880285,-86.87100231,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192440777495413,-86.87099555,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19242971526116,-86.87098935,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19241956099026,-86.87098366,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19241024015912,-86.87097843,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192401684360874,-86.87097364,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19239383080334,-86.87096924,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19238662184818,-86.87096519,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19238000458787,-86.87096149,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192373930457435,-86.87095808,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19236835487799,-86.87095495,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192363236929587,-86.87095209,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19235854,-86.87094945,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192354226763552,-86.87094703,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192350268419066,-86.87094482,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192346634966608,-86.87094278,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192343299739772,-86.87094091,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192266186380188,-86.87089727,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192228735091707,-86.8708759,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19219350596621,-86.87085579,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192160367152198,-86.87083687,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192129194621558,-86.87081908,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19209987170535,-86.87080234,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192072288657155,-86.8707866,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.192046342242335,-86.87077179,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19202193535165,-86.87075786,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19199897663782,-86.87074475,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19197738017362,-86.87073243,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.191957065130307,-86.87072083,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.191937955475087,-86.87070992,1.675,447.761194,9
